Airfoil,Degrees,CL,CD,CM
2032c,0,-0.9776074650433892,0.008114092467802968,0.04234593415309368
2032c,5,-0.9776074650433892,0.008114092467802968,0.04234593415309368
a18sm,0,0.5016335105216462,0.005876287301095877,-0.12032370279121855
a18sm,5,1.0282619413246192,0.010181848380147534,-0.11347436165793408
b29tip,0,0.9453006673730389,0.2460717155060492,-0.02551362033339556
b29tip,5,0.9453006673730389,0.2460717155060492,-0.02551362033339556
b737b,0,0.8084548912606568,0.001928389465269411,-0.0696175384031863
b737b,5,0.8084548912606568,0.001928389465269411,-0.0696175384031863
naca6412,0,0.6801178487344683,0.007774438684556739,-0.14753915501774453
naca6412,5,1.2138490194831708,0.008364009605522043,-0.1423078338266876
